"Name","Team","IP","RE24","ERA","ERA-","tERA","FIP","xFIP","xFIP-","SIERA","FIP-","playerid"
"Donnie Veal","White Sox","29.1","-2.35","4.60","113","4.14","4.04","3.82","96","3.73","99","4741"
"Franklin Morales","Red Sox","25.1","-1.32","4.62","110","5.51","4.55","4.98","125","4.58","117","5088"
"Jake Westbrook","Cardinals","116.2","-16.79","4.63","126","5.23","4.62","4.95","132","5.03","124","412"
"Dan Haren","Nationals","169.2","-14.55","4.67","124","4.60","4.09","3.67","97","3.53","110","1757"
"Billy Buckner","Angels","17.1","-1.46","4.67","123","8.15","7.37","5.60","141","5.49","192","8253"
"Michael Gonzalez","Brewers","50.0","-15.35","4.68","121","5.86","4.87","3.88","103","3.36","124","1794"
"Kyle Farnsworth","- - -","38.1","-5.21","4.70","122","4.96","4.14","3.73","95","3.57","108","278"
"Buddy Boshers","Angels","15.1","3.00","4.70","124","3.69","3.11","4.27","108","4.09","81","8490"
"Kyle Kendrick","Phillies","182.0","-18.73","4.70","125","4.41","4.01","4.15","110","4.27","105","6230"
"John Danks","White Sox","138.1","-15.40","4.75","117","5.87","5.06","4.08","103","4.17","124","6329"
"Tyler Lyons","Cardinals","53.0","-3.63","4.75","130","4.05","3.73","3.84","102","3.79","100","11334"
"Esmil Rogers","Blue Jays","137.2","-6.91","4.77","118","5.69","4.73","4.06","102","4.11","117","6317"
"Hector Rondon","Cubs","54.2","-5.08","4.77","128","4.99","4.40","4.42","118","4.09","116","2391"
"CC Sabathia","Yankees","211.0","-20.28","4.78","118","4.81","4.10","3.76","95","3.88","100","404"
"Jake Arrieta","- - -","75.1","-3.94","4.78","122","6.00","4.84","4.61","120","4.76","125","4153"
"Tony Sipp","Diamondbacks","37.2","-6.31","4.78","123","4.62","4.88","4.99","133","4.02","130","8280"
"Jared Hughes","Pirates","32.0","-3.43","4.78","133","4.45","4.11","4.32","115","4.07","112","9325"
"Andre Rienzo","White Sox","56.0","-8.34","4.82","119","6.36","5.85","4.76","120","4.87","143","3507"
"Travis Blackley","- - -","50.1","1.40","4.83","118","6.70","5.93","4.21","106","4.11","147","3234"
"Nick Tepesch","Rangers","93.0","-11.76","4.84","114","5.17","4.19","3.82","96","3.79","103","11716"
"Darin Downs","Tigers","35.1","-0.62","4.84","120","3.64","3.53","3.53","89","2.98","89","5903"
"Alfredo Aceves","Red Sox","37.0","-4.69","4.86","116","7.26","6.35","5.01","126","5.21","163","5164"
"Lucas Luetge","Mariners","37.0","-11.93","4.86","127","4.57","3.75","4.16","105","3.99","97","8337"
"Alex Sanabia","Marlins","55.1","-8.77","4.88","131","6.60","5.85","5.30","141","5.24","161","5350"
"Alex Wilson","Red Sox","27.2","-4.26","4.88","116","4.88","3.08","4.81","121","4.42","80","9239"
"Roberto Hernandez","Rays","151.0","-16.15","4.89","127","5.25","4.63","3.60","91","3.59","119","3273"
"Jair Jurrjens","Orioles","7.1","0.43","4.91","120","3.59","3.59","4.43","112","4.08","87","5556"
"Ian Kennedy","- - -","181.1","-27.90","4.91","130","5.33","4.59","4.19","111","4.09","122","6986"
"Joba Chamberlain","Yankees","42.0","-9.09","4.93","122","6.66","5.64","4.60","116","4.37","137","2692"
"Zach Britton","Orioles","40.0","-6.35","4.95","121","5.48","4.80","4.59","116","4.70","116","3240"
"Brandon Workman","Red Sox","41.2","-2.66","4.97","119","4.63","3.43","3.18","80","3.11","88","11428"
"Jason Hammel","Orioles","139.1","-10.24","4.97","121","5.62","4.93","4.56","115","4.49","120","4538"
"Josh Fields","Astros","38.0","1.71","4.97","124","4.36","5.10","4.20","106","3.54","127","5070"
"Erasmo Ramirez","Mariners","72.1","-7.96","4.98","130","5.13","4.83","4.26","107","4.23","125","10314"
"Edwin Jackson","Cubs","175.1","-30.14","4.98","133","4.29","3.79","3.86","102","3.97","100","1841"
"Brandon Lyon","Mets","34.1","-9.56","4.98","141","4.73","3.98","4.48","119","4.31","106","1312"
"David Phelps","Yankees","86.2","-6.21","4.98","123","4.46","3.81","4.03","102","3.91","93","6316"
"Josh Lueke","Rays","21.1","-3.77","5.06","131","3.75","4.36","4.58","115","3.69","112","5722"
"Carlos Martinez","Cardinals","28.1","-4.50","5.08","139","3.31","3.08","3.83","102","3.40","83","11682"
"Ted Lilly","Dodgers","23.0","-5.15","5.09","142","5.26","5.18","4.94","131","4.66","139","833"
"Guillermo Moscoso","Giants","30.0","-2.51","5.10","148","5.18","5.55","5.66","151","4.99","158","5106"
"John Gast","Cardinals","12.1","-0.67","5.11","139","3.94","4.02","4.30","114","4.45","108","11133"
"Tyler Skaggs","Diamondbacks","38.2","-6.74","5.12","132","5.27","4.86","3.95","105","3.89","129","10190"
"Rob Scahill","Rockies","33.1","-0.03","5.13","117","6.99","4.97","4.37","116","4.00","123","9286"
"Juan Nicasio","Rockies","157.2","-14.69","5.14","117","5.55","4.25","4.32","115","4.41","105","7731"
"Matt Langwell","- - -","14.0","-1.92","5.14","131","6.44","4.90","4.61","121","4.17","128","8130"
"Brooks Raley","Cubs","14.0","-0.28","5.14","138","6.45","5.05","4.07","108","3.80","134","10061"
"Dallas Keuchel","Astros","153.2","-17.30","5.15","129","4.85","4.25","3.58","90","3.63","106","9434"
"Jeremy Hellickson","Rays","174.0","-23.08","5.17","134","4.34","4.22","4.15","105","4.07","109","4371"
"Gavin Floyd","White Sox","24.1","-4.89","5.18","128","5.13","4.61","3.60","91","3.86","112","3886"
"Brad Peacock","Astros","83.1","-7.95","5.18","129","5.04","4.98","4.44","112","4.16","124","5401"
"Mike Pelfrey","Twins","152.2","-16.78","5.19","129","4.43","3.99","4.54","114","4.55","101","5203"
"Phil Hughes","Yankees","145.2","-20.57","5.19","128","5.09","4.50","4.39","111","4.16","110","7450"
"Josh Beckett","Dodgers","43.1","-12.52","5.19","145","5.24","4.66","3.81","101","3.83","125","510"
"Kyuji Fujikawa","Cubs","12.0","-1.64","5.25","140","3.02","2.80","2.85","76","2.15","74","14443"
"Joe Saunders","Mariners","183.0","-29.52","5.26","137","5.25","4.72","4.23","107","4.42","122","4366"
"Shaun Marcum","Mets","78.1","-16.14","5.29","150","4.04","3.64","4.22","112","4.08","96","6204"
